[2026-09-20 20:14:06] status=ago
[2026-09-20 20:15:00] UP jobs=1 s3_progress=0 gpu=[0 %, 0 MiB 271G ssh-fail]
[2026-09-20 20:31:58] UP jobs=1 s3_progress=0 gpu=[0 %, 0 MiB 243G [2026-09-20 15:01:15] resume at doc 0 shard 0 (budget 4000000) ]
[2026-09-20 20:36:05] UP jobs=1 s3_progress=0 gpu=[34 %, 6718 MiB 242G [2026-09-20 15:04:59] resume at doc 0 shard 0 (budget 4000000) ]
[2026-09-20 20:36:31] UP jobs=1 s3_progress=0 gpu=[46 %, 6718 MiB 242G [2026-09-20 15:04:59] resume at doc 0 shard 0 (budget 4000000) ]
[2026-09-20 20:48:54] UP jobs=1 s3_progress=232382 gpu=[0 %, 6720 MiB 235G [2026-09-20 15:15:12] s3 sync ok (12 shard headers) ]
[2026-09-20 20:51:33] UP jobs=1 s3_progress=350706 gpu=[0 %, 6720 MiB 234G [2026-09-20 15:20:18] s3 sync ok (18 shard headers) ]
[2026-09-20 21:03:56] UP jobs=1 s3_progress=586073 gpu=[0 %, 6720 MiB 227G [2026-09-20 15:30:31] s3 sync ok (30 shard headers) ]
[2026-09-20 21:16:19] UP jobs=1 s3_progress=940782 gpu=[35 %, 6720 MiB 220G 37.25.883.084 I doc 660[2026-09-20 15:45:51] s3 sync ok (48 shard headers) ]
[2026-09-20 21:28:43] UP jobs=1 s3_progress=1177807 gpu=[96 %, 6720 MiB 213G [2026-09-20 15:56:03] s3 sync ok (59 shard headers) ]
[2026-09-20 21:41:02] UP jobs=1 s3_progress=1413799 gpu=[0 %, 6720 MiB 206G [2026-09-20 16:06:17] s3 sync ok (71 shard headers) ]
[2026-09-20 21:53:24] UP jobs=1 s3_progress=1768440 gpu=[0 %, 6720 MiB 200G 73.33.205.219 I shard 84 written: 20000 tokens [2026-09-20 16:21:37] s3 sync ok (89 shard headers) ]
[2026-09-20 22:05:55] UP jobs=1 s3_progress=2004600 gpu=[0 %, 6720 MiB 192G [2026-09-20 16:31:50] s3 sync ok (101 shard headers) ]
[2026-09-20 22:18:59] UP jobs=1 s3_progress=done gpu=[0 %, 0 MiB 190G [2026-09-20 16:41:07] tap-dump exit 127; final s3 sync done ]
[2026-09-20 22:31:20] UP jobs=3 s3_progress=done gpu=[0 %, 23888 MiB 182G [2026-09-20 16:41:07] tap-dump exit 127; final s3 sync done ]
[2026-09-20 22:43:38] UP jobs=3 s3_progress=done gpu=[0 %, 0 MiB 182G [2026-09-20 16:41:07] tap-dump exit 127; final s3 sync done ]
[2026-09-20 22:56:02] UP jobs=3 s3_progress=done gpu=[0 %, 6720 MiB 177G [2026-09-20 17:25:53] s3 sync ok (12 shard headers) ]
[2026-09-20 23:08:16] UP jobs=4 s3_progress=done gpu=[92 %, 17000 MiB 168G 22.19.269.523 I doc 460/6000, 473170 tokens ]
[2026-09-20 23:20:38] UP jobs=4 s3_progress=done gpu=[99 %, 17000 MiB 158G 22.57.791.613 I prompt 424 (424/4879), 269091 tokens (163824 generated) ]
[2026-09-20 23:33:00] UP jobs=4 s3_progress=done gpu=[52 %, 17000 MiB 149G 35.21.881.735 I prompt 648 (648/4879), 413350 tokens (254240 generated) ]
[2026-09-20 23:45:16] UP jobs=4 s3_progress=done gpu=[61 %, 17000 MiB 140G 47.13.831.895 I prompt 856 (856/4879), 550656 tokens (339952 generated) ]
[2026-09-20 23:57:38] UP jobs=4 s3_progress=done gpu=[100 %, 17000 MiB 131G 71.45.266.493 I shard 72 written: 20000 tokens (total 1460000) ]
[2026-09-21 00:10:00] UP jobs=4 s3_progress=done gpu=[65 %, 17000 MiB 121G 72.20.809.154 I prompt 1304 (1304/4879), 842187 tokens (522544 generated) ]
[2026-09-21 00:22:14] UP jobs=4 s3_progress=done gpu=[74 %, 17000 MiB 112G 96.17.993.560 I doc 1880/6000, 1950867 tokens ]
[2026-09-21 00:34:36] UP jobs=4 s3_progress=done gpu=[0 %, 17166 MiB 102G 108.44.560.528 I shard 109 written: 20000 tokens (total 2200000) ]
[2026-09-21 00:46:59] UP jobs=4 s3_progress=done gpu=[98 %, 17166 MiB 93G 109.04.187.912 I prompt 1960 (1960/4879), 1274050 tokens (785328 generated) ]
[2026-09-21 00:59:21] UP jobs=3 s3_progress=done gpu=[58 %, 10282 MiB 88G 121.36.936.935 I prompt 2216 (2216/4879), 1444781 tokens (885520 generated) ]
[2026-09-21 01:11:43] UP jobs=3 s3_progress=done gpu=[63 %, 10282 MiB 84G 133.51.825.989 I prompt 2480 (2480/4879), 1614938 tokens (989456 generated) ]
[2026-09-21 01:24:05] UP jobs=3 s3_progress=done gpu=[65 %, 10282 MiB 80G 146.12.619.302 I prompt 2744 (2744/4879), 1784866 tokens (1095840 generated) ]
[2026-09-21 01:36:27] UP jobs=3 s3_progress=done gpu=[59 %, 10282 MiB 76G 158.41.294.953 I prompt 3008 (3008/4879), 1957941 tokens (1202112 generated) ]
[2026-09-21 01:48:43] UP jobs=3 s3_progress=done gpu=[64 %, 10282 MiB 71G 170.53.718.249 I prompt 3272 (3272/4879), 2129733 tokens (1303824 generated) ]
[2026-09-21 02:01:05] UP jobs=3 s3_progress=done gpu=[65 %, 10282 MiB 67G 183.24.051.512 I prompt 3536 (3536/4879), 2301488 tokens (1411600 generated) ]
[2026-09-21 02:13:28] UP jobs=3 s3_progress=done gpu=[61 %, 10282 MiB 63G 195.48.736.122 I prompt 3800 (3800/4879), 2474267 tokens (1516928 generated) ]
[2026-09-21 02:25:52] UP jobs=2 s3_progress=done gpu=[0 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 02:32:20] nightwatch restarted with CAP_HOURS=10 (hard cap ~12:35 IST; autostop -i 90 downs the box earlier once jobs finish)
[2026-09-21 02:32:34] UP jobs=2 s3_progress=done gpu=[99 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
[2026-09-21 02:44:56] UP jobs=2 s3_progress=done gpu=[0 %, 23680 MiB 59G [2026-09-20 20:45:23] tap-dump exit 0; final s3 sync done ]
