01:34:35 loaded init /home/ubuntu/adapter-full/adapter_final.safetensors
01:34:35 drafter block 8 mask 248070 H 5120 | trainable 1924.4 M (full)
01:34:42 pack embed (248320, 5120) block 1024 | lm_head (248320, 5120) block 1024
01:34:48 237 shards in 2 dir(s) (4660000 train tokens in 233 shards), eval 49 docs from 4 held-out shard(s)
01:34:52 [eval init] blocks 2858 | per-position match [0.63, 0.438, 0.324, 0.285, 0.252, 0.221, 0.189] | tokens/cycle 2.64 (ratio 0.235)
01:34:52 train: ~36406 steps (1.0 epoch(s), stride 8, batch 16, lr 2e-05)
01:35:02 step 50/36406 loss 1.933 ema 3.674 lr 1.00e-05 | 0.21 s/step | ETA 125 min | mem 23.7 GB
01:35:11 step 100/36406 loss 2.691 ema 4.037 lr 2.00e-05 | 0.19 s/step | ETA 114 min | mem 23.7 GB
01:35:21 step 150/36406 loss 3.453 ema 4.075 lr 2.00e-05 | 0.19 s/step | ETA 118 min | mem 23.7 GB
01:35:30 step 200/36406 loss 4.816 ema 3.989 lr 2.00e-05 | 0.19 s/step | ETA 114 min | mem 23.7 GB
01:35:40 step 250/36406 loss 2.966 ema 3.930 lr 2.00e-05 | 0.19 s/step | ETA 117 min | mem 23.7 GB
01:35:49 step 300/36406 loss 4.940 ema 4.050 lr 2.00e-05 | 0.19 s/step | ETA 114 min | mem 23.7 GB
01:35:58 step 350/36406 loss 2.376 ema 3.645 lr 2.00e-05 | 0.19 s/step | ETA 113 min | mem 23.7 GB
01:36:08 step 400/36406 loss 3.237 ema 3.797 lr 2.00e-05 | 0.19 s/step | ETA 115 min | mem 23.7 GB
01:36:17 step 450/36406 loss 4.078 ema 3.559 lr 2.00e-05 | 0.19 s/step | ETA 113 min | mem 23.7 GB
01:36:28 step 500/36406 loss 4.019 ema 3.713 lr 2.00e-05 | 0.19 s/step | ETA 115 min | mem 23.7 GB
01:36:32 saved ckpt 81 tensors
01:36:41 step 550/36406 loss 2.139 ema 3.994 lr 2.00e-05 | 0.20 s/step | ETA 119 min | mem 23.7 GB
01:36:50 step 600/36406 loss 5.045 ema 3.718 lr 2.00e-05 | 0.20 s/step | ETA 117 min | mem 23.7 GB
01:37:00 step 650/36406 loss 3.080 ema 3.787 lr 2.00e-05 | 0.20 s/step | ETA 118 min | mem 23.7 GB
01:37:09 step 700/36406 loss 2.468 ema 3.485 lr 2.00e-05 | 0.20 s/step | ETA 117 min | mem 23.7 GB
01:37:20 step 750/36406 loss 4.532 ema 3.506 lr 2.00e-05 | 0.20 s/step | ETA 118 min | mem 23.7 GB
01:37:29 step 800/36406 loss 2.586 ema 3.606 lr 2.00e-05 | 0.20 s/step | ETA 116 min | mem 23.7 GB
01:37:37 step 850/36406 loss 4.296 ema 4.102 lr 2.00e-05 | 0.19 s/step | ETA 115 min | mem 23.7 GB
01:37:48 step 900/36406 loss 4.440 ema 3.576 lr 2.00e-05 | 0.20 s/step | ETA 115 min | mem 23.7 GB
01:37:56 step 950/36406 loss 4.860 ema 3.557 lr 2.00e-05 | 0.19 s/step | ETA 115 min | mem 23.7 GB
01:38:05 step 1000/36406 loss 4.472 ema 3.887 lr 2.00e-05 | 0.19 s/step | ETA 114 min | mem 23.7 GB
01:38:26 saved ckpt 81 tensors
01:38:36 step 1050/36406 loss 3.059 ema 3.840 lr 2.00e-05 | 0.21 s/step | ETA 126 min | mem 23.7 GB
01:38:45 step 1100/36406 loss 3.381 ema 3.638 lr 2.00e-05 | 0.21 s/step | ETA 125 min | mem 23.7 GB
01:38:55 step 1150/36406 loss 4.051 ema 3.451 lr 2.00e-05 | 0.21 s/step | ETA 124 min | mem 23.7 GB
01:39:04 step 1200/36406 loss 2.990 ema 3.457 lr 2.00e-05 | 0.21 s/step | ETA 123 min | mem 23.7 GB
01:39:12 step 1250/36406 loss 2.551 ema 3.336 lr 1.99e-05 | 0.21 s/step | ETA 122 min | mem 23.7 GB
01:39:23 step 1300/36406 loss 3.562 ema 3.431 lr 1.99e-05 | 0.21 s/step | ETA 122 min | mem 23.7 GB
01:39:32 step 1350/36406 loss 4.698 ema 3.790 lr 1.99e-05 | 0.21 s/step | ETA 121 min | mem 23.7 GB
01:39:42 step 1400/36406 loss 4.802 ema 3.174 lr 1.99e-05 | 0.21 s/step | ETA 121 min | mem 23.7 GB
01:39:51 step 1450/36406 loss 2.707 ema 3.168 lr 1.99e-05 | 0.21 s/step | ETA 120 min | mem 23.7 GB
01:39:59 step 1500/36406 loss 4.295 ema 3.415 lr 1.99e-05 | 0.20 s/step | ETA 119 min | mem 23.7 GB
01:40:20 saved ckpt 81 tensors
01:40:31 step 1550/36406 loss 4.289 ema 3.533 lr 1.99e-05 | 0.22 s/step | ETA 127 min | mem 23.7 GB
01:40:39 step 1600/36406 loss 4.371 ema 3.708 lr 1.99e-05 | 0.22 s/step | ETA 126 min | mem 23.7 GB
01:40:50 step 1650/36406 loss 3.267 ema 3.967 lr 1.99e-05 | 0.22 s/step | ETA 126 min | mem 23.7 GB
01:40:59 step 1700/36406 loss 4.594 ema 4.154 lr 1.99e-05 | 0.22 s/step | ETA 125 min | mem 23.7 GB
01:41:07 step 1750/36406 loss 3.909 ema 3.805 lr 1.99e-05 | 0.21 s/step | ETA 124 min | mem 23.7 GB
01:41:18 step 1800/36406 loss 4.112 ema 3.805 lr 1.99e-05 | 0.21 s/step | ETA 124 min | mem 23.7 GB
01:41:26 step 1850/36406 loss 3.619 ema 3.373 lr 1.99e-05 | 0.21 s/step | ETA 123 min | mem 23.7 GB
01:41:37 step 1900/36406 loss 3.176 ema 3.180 lr 1.99e-05 | 0.21 s/step | ETA 122 min | mem 23.7 GB
01:41:45 step 1950/36406 loss 4.943 ema 3.340 lr 1.99e-05 | 0.21 s/step | ETA 122 min | mem 23.7 GB
01:41:54 step 2000/36406 loss 1.948 ema 3.236 lr 1.99e-05 | 0.21 s/step | ETA 121 min | mem 23.7 GB
01:42:14 saved ckpt 81 tensors
01:42:25 step 2050/36406 loss 2.743 ema 3.507 lr 1.99e-05 | 0.22 s/step | ETA 127 min | mem 23.7 GB
01:42:34 step 2100/36406 loss 3.444 ema 3.855 lr 1.99e-05 | 0.22 s/step | ETA 126 min | mem 23.7 GB
01:42:44 step 2150/36406 loss 3.151 ema 3.546 lr 1.98e-05 | 0.22 s/step | ETA 125 min | mem 23.7 GB
01:42:53 step 2200/36406 loss 3.468 ema 3.278 lr 1.98e-05 | 0.22 s/step | ETA 125 min | mem 23.7 GB
01:43:01 step 2250/36406 loss 3.241 ema 3.104 lr 1.98e-05 | 0.22 s/step | ETA 124 min | mem 23.7 GB
01:43:12 step 2300/36406 loss 2.553 ema 3.181 lr 1.98e-05 | 0.22 s/step | ETA 123 min | mem 23.7 GB
01:43:20 step 2350/36406 loss 1.663 ema 3.260 lr 1.98e-05 | 0.22 s/step | ETA 123 min | mem 23.7 GB
01:43:30 step 2400/36406 loss 4.872 ema 3.357 lr 1.98e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:43:39 step 2450/36406 loss 2.997 ema 3.429 lr 1.98e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:43:48 step 2500/36406 loss 2.474 ema 3.057 lr 1.98e-05 | 0.21 s/step | ETA 121 min | mem 23.7 GB
01:44:08 saved ckpt 81 tensors
01:44:19 step 2550/36406 loss 4.287 ema 3.512 lr 1.98e-05 | 0.22 s/step | ETA 125 min | mem 23.7 GB
01:44:27 step 2600/36406 loss 2.394 ema 3.237 lr 1.98e-05 | 0.22 s/step | ETA 125 min | mem 23.7 GB
01:44:38 step 2650/36406 loss 3.664 ema 3.566 lr 1.98e-05 | 0.22 s/step | ETA 124 min | mem 23.7 GB
01:44:47 step 2700/36406 loss 3.297 ema 3.651 lr 1.98e-05 | 0.22 s/step | ETA 124 min | mem 23.7 GB
01:44:55 step 2750/36406 loss 1.381 ema 3.344 lr 1.97e-05 | 0.22 s/step | ETA 123 min | mem 23.7 GB
01:45:06 step 2800/36406 loss 3.329 ema 3.224 lr 1.97e-05 | 0.22 s/step | ETA 123 min | mem 23.7 GB
01:45:14 step 2850/36406 loss 3.048 ema 3.017 lr 1.97e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:45:25 step 2900/36406 loss 3.959 ema 3.029 lr 1.97e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:45:33 step 2950/36406 loss 4.567 ema 3.455 lr 1.97e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:45:42 step 3000/36406 loss 4.166 ema 3.296 lr 1.97e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:46:03 saved ckpt 81 tensors
01:46:13 step 3050/36406 loss 5.224 ema 3.097 lr 1.97e-05 | 0.22 s/step | ETA 124 min | mem 23.7 GB
01:46:22 step 3100/36406 loss 3.715 ema 3.892 lr 1.97e-05 | 0.22 s/step | ETA 124 min | mem 23.7 GB
01:46:32 step 3150/36406 loss 3.993 ema 3.956 lr 1.97e-05 | 0.22 s/step | ETA 123 min | mem 23.7 GB
01:46:41 step 3200/36406 loss 3.551 ema 3.816 lr 1.97e-05 | 0.22 s/step | ETA 123 min | mem 23.7 GB
01:46:50 step 3250/36406 loss 4.666 ema 3.634 lr 1.96e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:47:00 step 3300/36406 loss 3.729 ema 3.438 lr 1.96e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:47:09 step 3350/36406 loss 4.126 ema 3.411 lr 1.96e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:47:19 step 3400/36406 loss 2.617 ema 3.602 lr 1.96e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:47:28 step 3450/36406 loss 4.410 ema 3.993 lr 1.96e-05 | 0.22 s/step | ETA 120 min | mem 23.7 GB
01:47:36 step 3500/36406 loss 2.441 ema 3.936 lr 1.96e-05 | 0.22 s/step | ETA 120 min | mem 23.7 GB
01:47:57 saved ckpt 81 tensors
01:48:08 step 3550/36406 loss 0.373 ema 2.911 lr 1.96e-05 | 0.22 s/step | ETA 123 min | mem 23.7 GB
01:48:16 step 3600/36406 loss 4.897 ema 3.202 lr 1.96e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:48:27 step 3650/36406 loss 4.576 ema 3.590 lr 1.96e-05 | 0.22 s/step | ETA 122 min | mem 23.7 GB
01:48:36 step 3700/36406 loss 2.193 ema 3.456 lr 1.95e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:48:44 step 3750/36406 loss 2.960 ema 3.457 lr 1.95e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:48:55 step 3800/36406 loss 4.287 ema 3.612 lr 1.95e-05 | 0.22 s/step | ETA 120 min | mem 23.7 GB
01:49:03 step 3850/36406 loss 4.776 ema 3.563 lr 1.95e-05 | 0.22 s/step | ETA 120 min | mem 23.7 GB
01:49:14 step 3900/36406 loss 3.370 ema 3.672 lr 1.95e-05 | 0.22 s/step | ETA 120 min | mem 23.7 GB
01:49:22 step 3950/36406 loss 1.653 ema 2.930 lr 1.95e-05 | 0.22 s/step | ETA 119 min | mem 23.7 GB
01:49:31 step 4000/36406 loss 3.288 ema 3.030 lr 1.95e-05 | 0.22 s/step | ETA 119 min | mem 23.7 GB
01:49:51 saved ckpt 81 tensors
01:50:02 step 4050/36406 loss 4.760 ema 3.342 lr 1.95e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:50:10 step 4100/36406 loss 3.735 ema 3.603 lr 1.94e-05 | 0.22 s/step | ETA 121 min | mem 23.7 GB
01:50:21 step 4150/36406 loss 2.903 ema 3.477 lr 1.94e-05 | 0.22 s/step | ETA 120 min | mem 23.7 GB
01:50:29 step 4200/36406 loss 2.352 ema 3.193 lr 1.94e-05 | 0.22 s/step | ETA 120 min | mem 23.7 GB
01:50:38 step 4250/36406 loss 3.975 ema 3.080 lr 1.94e-05 | 0.22 s/step | ETA 119 min | mem 23.7 GB
01:50:49 step 4300/36406 loss 0.891 ema 2.717 lr 1.94e-05 | 0.22 s/step | ETA 119 min | mem 23.7 GB
01:50:57 step 4350/36406 loss 2.899 ema 3.054 lr 1.94e-05 | 0.22 s/step | ETA 119 min | mem 23.7 GB
01:51:08 step 4400/36406 loss 3.194 ema 3.374 lr 1.94e-05 | 0.22 s/step | ETA 118 min | mem 23.7 GB
01:51:16 step 4450/36406 loss 3.268 ema 3.163 lr 1.93e-05 | 0.22 s/step | ETA 118 min | mem 23.7 GB
01:51:25 step 4500/36406 loss 2.928 ema 3.097 lr 1.93e-05 | 0.22 s/step | ETA 117 min | mem 23.7 GB
01:51:45 saved ckpt 81 tensors
01:51:56 step 4550/36406 loss 4.355 ema 2.910 lr 1.93e-05 | 0.23 s/step | ETA 119 min | mem 23.7 GB
01:52:04 step 4600/36406 loss 4.007 ema 3.077 lr 1.93e-05 | 0.22 s/step | ETA 119 min | mem 23.7 GB
01:52:15 step 4650/36406 loss 5.143 ema 3.350 lr 1.93e-05 | 0.22 s/step | ETA 119 min | mem 23.7 GB
01:52:23 step 4700/36406 loss 4.281 ema 3.191 lr 1.93e-05 | 0.22 s/step | ETA 118 min | mem 23.7 GB
01:52:32 step 4750/36406 loss 3.708 ema 3.312 lr 1.93e-05 | 0.22 s/step | ETA 118 min | mem 23.7 GB
01:52:42 step 4800/36406 loss 2.486 ema 3.067 lr 1.92e-05 | 0.22 s/step | ETA 117 min | mem 23.7 GB
01:52:51 step 4850/36406 loss 3.003 ema 2.917 lr 1.92e-05 | 0.22 s/step | ETA 117 min | mem 23.7 GB
01:53:01 step 4900/36406 loss 2.665 ema 3.035 lr 1.92e-05 | 0.22 s/step | ETA 117 min | mem 23.7 GB
01:53:10 step 4950/36406 loss 5.386 ema 3.193 lr 1.92e-05 | 0.22 s/step | ETA 116 min | mem 23.7 GB
01:53:19 step 5000/36406 loss 2.755 ema 3.349 lr 1.92e-05 | 0.22 s/step | ETA 116 min | mem 23.7 GB
01:53:39 saved ckpt 81 tensors
01:53:50 step 5050/36406 loss 1.983 ema 2.891 lr 1.92e-05 | 0.23 s/step | ETA 118 min | mem 23.7 GB
01:53:59 step 5100/36406 loss 3.609 ema 3.504 lr 1.91e-05 | 0.22 s/step | ETA 117 min | mem 23.7 GB
01:54:09 step 5150/36406 loss 3.840 ema 2.998 lr 1.91e-05 | 0.22 s/step | ETA 117 min | mem 23.7 GB
