20:50:36 loaded init /home/ubuntu/adapter-full/adapter_final.safetensors
20:50:36 drafter block 8 mask 248070 H 5120 | trainable 1924.4 M (full)
20:50:43 pack embed (248320, 5120) block 1024 | lm_head (248320, 5120) block 1024
20:50:43 126 shards in 1 dir(s) (2480000 train tokens in 124 shards), eval 39 docs from 2 held-out shard(s) | gen-only: 12649 generated eval tokens
20:50:45 [eval init] blocks 626 | per-position match [0.791, 0.597, 0.513, 0.423, 0.343, 0.304, 0.264] | tokens/cycle 3.55 (ratio 0.364)
20:50:45 train: ~77500 steps (2.0 epoch(s), stride 4, batch 16, lr 2e-05)
20:50:55 step 50/77500 loss 2.531 ema 2.632 lr 1.00e-05 | 0.20 s/step | ETA 255 min | mem 23.6 GB
20:51:03 step 100/77500 loss 0.099 ema 2.769 lr 2.00e-05 | 0.18 s/step | ETA 231 min | mem 23.6 GB
20:51:11 step 150/77500 loss 2.894 ema 2.720 lr 2.00e-05 | 0.17 s/step | ETA 223 min | mem 23.6 GB
20:51:19 step 200/77500 loss 3.633 ema 2.260 lr 2.00e-05 | 0.17 s/step | ETA 221 min | mem 23.6 GB
20:51:27 step 250/77500 loss 3.394 ema 2.647 lr 2.00e-05 | 0.17 s/step | ETA 218 min | mem 23.6 GB
20:51:35 step 300/77500 loss 3.792 ema 2.874 lr 2.00e-05 | 0.17 s/step | ETA 216 min | mem 23.6 GB
20:51:45 step 350/77500 loss 2.920 ema 2.967 lr 2.00e-05 | 0.17 s/step | ETA 221 min | mem 23.6 GB
20:51:53 step 400/77500 loss 0.376 ema 2.999 lr 2.00e-05 | 0.17 s/step | ETA 219 min | mem 23.6 GB
20:52:01 step 450/77500 loss 3.628 ema 2.852 lr 2.00e-05 | 0.17 s/step | ETA 218 min | mem 23.6 GB
20:52:11 step 500/77500 loss 2.515 ema 2.905 lr 2.00e-05 | 0.17 s/step | ETA 222 min | mem 23.6 GB
20:52:16 saved ckpt 81 tensors
20:52:24 step 550/77500 loss 3.392 ema 2.987 lr 2.00e-05 | 0.18 s/step | ETA 231 min | mem 23.6 GB
20:52:32 step 600/77500 loss 2.866 ema 2.831 lr 2.00e-05 | 0.18 s/step | ETA 229 min | mem 23.6 GB
20:52:44 step 650/77500 loss 3.228 ema 2.472 lr 2.00e-05 | 0.18 s/step | ETA 235 min | mem 23.6 GB
20:52:52 step 700/77500 loss 0.449 ema 2.566 lr 2.00e-05 | 0.18 s/step | ETA 233 min | mem 23.6 GB
20:53:00 step 750/77500 loss 0.621 ema 2.305 lr 2.00e-05 | 0.18 s/step | ETA 231 min | mem 23.6 GB
